date,song,artist,count,total_duration,year,week,month,listen_time_minutes
2024-10-28,TV,MICO,11,1652833,2024,44,10,27.55
2024-10-28,Senses,MICO,11,1547348,2024,44,10,25.79
2024-10-29,JADED,Fordo,5,839406,2024,44,10,13.99
2024-10-29,Tears in your eyes,MICO,4,608132,2024,44,10,10.14
2024-10-29,TV,MICO,4,486433,2024,44,10,8.11
2024-10-29,HOMESICK,MICO,3,448777,2024,44,10,7.48
2024-10-29,JADED - Slowed and Reverb,Fordo,2,373216,2024,44,10,6.22
2024-10-30,JADED,Fordo,5,817805,2024,44,10,13.63
2024-10-30,OBVIOUS,Fordo,4,722849,2024,44,10,12.05
2024-10-30,Tears in your eyes,MICO,3,468527,2024,44,10,7.81
2024-10-30,Dream,keshi,2,414122,2024,44,10,6.9
2024-10-30,Bodies,keshi,2,390637,2024,44,10,6.51
2024-10-31,OBVIOUS,Fordo,5,934564,2024,44,10,15.58
2024-10-31,Soft Spot,keshi,3,524614,2024,44,10,8.74
2024-10-31,JADED,Fordo,3,524069,2024,44,10,8.73
2024-10-31,Top Tier,sunkis,3,476574,2024,44,10,7.94
2024-10-31,You Broke Me First,Conor Maynard,3,438793,2024,44,10,7.31
2024-11-01,Tears in your eyes,MICO,20,3198169,2024,44,11,53.3
2024-11-01,カワキヲアメク,美波,6,1333881,2024,44,11,22.23
2024-11-01,treat your friends,MICO,2,319272,2024,44,11,5.32
2024-11-01,JADED,Fordo,2,312725,2024,44,11,5.21
2024-11-01,Gurumi,SE SO NEON,1,214215,2024,44,11,3.57
